                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94705,                 2.9543,                 1.5636,                0.37035,                0.48594,                0.29258,                0.28044,                0.89933,                 2.0177,                 1.0488,               0.003327,               0.003327,               0.003327
                      2,                0.65135,                 1.9172,                 1.2711,                0.35367,                0.47191,                    0.3,                0.28402,                0.98824,                  2.041,                  1.084,               0.006657,               0.006657,               0.006657
                      3,                0.67569,                 1.8601,                 1.2714,                 0.4199,                0.44607,                0.28104,                  0.257,                0.98298,                 2.0093,                  1.167,              0.0099837,              0.0099837,              0.0099837
                      4,                0.68264,                 1.8554,                 1.2815,                 0.3441,                0.51272,                0.30561,                0.28232,                0.84103,                 1.9304,                0.95232,              0.0099851,              0.0099851,              0.0099851
                      5,                0.62719,                 1.7731,                 1.2425,                0.47296,                0.50263,                0.35587,                0.34165,                0.93325,                 1.7668,                 1.0721,              0.0099851,              0.0099851,              0.0099851
                      6,                0.59117,                 1.7069,                 1.2227,                0.44893,                0.46822,                0.33655,                0.31781,                0.82843,                  1.885,                0.99791,              0.0099802,              0.0099802,              0.0099802
                      7,                0.56795,                 1.6722,                  1.205,                0.44059,                0.51563,                0.33984,                0.31746,                0.88056,                 1.7722,                 1.0514,              0.0099753,              0.0099753,              0.0099753
                      8,                0.55042,                 1.6431,                 1.1898,                0.45657,                0.50248,                0.38306,                0.34339,                0.89875,                 1.6702,                0.99555,              0.0099703,              0.0099703,              0.0099703
                      9,                0.52313,                  1.598,                 1.1698,                0.46283,                0.49945,                0.37278,                0.36221,                0.80441,                 1.6413,                0.93553,              0.0099654,              0.0099654,              0.0099654
                     10,                0.51262,                 1.5799,                 1.1637,                0.53601,                0.48817,                0.39245,                0.37401,                0.85287,                 1.5919,                0.98721,              0.0099604,              0.0099604,              0.0099604
                     11,                0.49907,                 1.5577,                 1.1565,                0.51118,                0.53442,                0.41758,                0.38371,                 0.8093,                  1.504,                0.94264,              0.0099555,              0.0099555,              0.0099555
                     12,                0.49328,                 1.5343,                 1.1462,                0.51005,                0.51524,                0.42682,                0.40285,                0.84258,                 1.5185,                 0.9824,              0.0099505,              0.0099505,              0.0099505
                     13,                0.48439,                 1.5232,                 1.1465,                0.52798,                0.54241,                0.39285,                0.37347,                0.79587,                 1.5095,                0.91951,              0.0099456,              0.0099456,              0.0099456
                     14,                0.48021,                 1.5114,                 1.1421,                 0.5578,                 0.4988,                0.40153,                0.39077,                0.72872,                 1.4904,                0.83762,              0.0099406,              0.0099406,              0.0099406
                     15,                0.46337,                 1.4736,                 1.1308,                0.57996,                0.51519,                0.42513,                0.38649,                 0.7438,                 1.4627,                0.84402,              0.0099357,              0.0099357,              0.0099357
